step,split,env,mean_reward,n
0,eval,csv-agent-all,0.4878048780487805,41
0,eval,csv-agent-easy-val,0.7142857142857143,14
0,train,all,0.625,16
1,train,all,0.9375,16
2,train,all,0.9375,16
3,train,all,0.5625,16
4,train,all,0.5,16
5,train,all,0.6875,16
6,train,all,0.875,16
7,train,all,0.8125,16
8,train,all,0.6875,16
9,train,all,0.75,16
10,eval,csv-agent-easy-val,0.6428571428571429,14
10,train,all,0.6875,16
11,train,all,0.6875,16
12,train,all,0.8125,16
13,train,all,1.0,16
14,train,all,0.5625,16
15,train,all,0.9375,16
16,train,all,0.9375,16
17,train,all,0.875,16
18,train,all,0.8125,16
19,train,all,0.8125,16
20,eval,csv-agent-easy-val,0.7142857142857143,14
20,train,all,0.75,16
21,train,all,0.75,16
22,train,all,0.875,16
23,train,all,0.9375,16
24,train,all,0.8125,16
25,train,all,0.625,16
26,train,all,0.875,16
27,train,all,0.8125,16
28,train,all,0.8125,16
29,train,all,0.75,16
30,eval,csv-agent-all,0.5609756097560976,41
30,eval,csv-agent-easy-val,0.7142857142857143,14
