step,split,env,difficulty,mean_reward,mean_final_correct,mean_hook_match_rate,mean_submitted_answer_present,n
0,eval,csv-agent-all,EASY,0.7142857142857143,0.7142857142857143,0.0,0.8571428571428571,14
0,eval,csv-agent-all,HARD,0.3,0.3,0.0,0.7,10
0,eval,csv-agent-all,MEDIUM,0.5,0.5,0.0,0.7142857142857143,14
0,eval,csv-agent-all,VERY_HARD,0.0,0.0,0.0,0.3333333333333333,3
0,eval,csv-agent-easy-val,EASY,0.7142857142857143,0.7142857142857143,0.0,0.7857142857142857,14
0,train,all,EASY,0.625,0.625,0.0,0.9375,16
1,train,all,EASY,0.9375,0.9375,0.0,0.9375,16
2,train,all,EASY,0.9375,0.9375,0.0,1.0,16
3,train,all,EASY,0.5625,0.5625,0.0,1.0,16
4,train,all,EASY,0.5,0.5,0.0,0.75,16
5,train,all,EASY,0.6875,0.6875,0.0,0.9375,16
6,train,all,EASY,0.875,0.875,0.0,0.875,16
7,train,all,EASY,0.8125,0.8125,0.0,0.875,16
8,train,all,EASY,0.6875,0.6875,0.0,0.8125,16
9,train,all,EASY,0.75,0.75,0.0,0.875,16
10,eval,csv-agent-easy-val,EASY,0.6428571428571429,0.6428571428571429,0.0,0.7857142857142857,14
10,train,all,EASY,0.6875,0.6875,0.0,0.8125,16
11,train,all,EASY,0.6875,0.6875,0.0,0.75,16
12,train,all,EASY,0.8125,0.8125,0.0,0.875,16
13,train,all,EASY,1.0,1.0,0.0,1.0,16
14,train,all,EASY,0.5625,0.5625,0.0,0.9375,16
15,train,all,EASY,0.9375,0.9375,0.0,1.0,16
16,train,all,EASY,0.9375,0.9375,0.0,0.9375,16
17,train,all,EASY,0.875,0.875,0.0,0.9375,16
18,train,all,EASY,0.8125,0.8125,0.0,0.8125,16
19,train,all,EASY,0.8125,0.8125,0.0,0.875,16
20,eval,csv-agent-easy-val,EASY,0.7142857142857143,0.7142857142857143,0.0,0.9285714285714286,14
20,train,all,EASY,0.75,0.75,0.0,0.875,16
21,train,all,EASY,0.75,0.75,0.0,1.0,16
22,train,all,EASY,0.875,0.875,0.0,1.0,16
23,train,all,EASY,0.9375,0.9375,0.0,1.0,16
24,train,all,EASY,0.8125,0.8125,0.0,0.9375,16
25,train,all,EASY,0.625,0.625,0.0,1.0,16
26,train,all,EASY,0.875,0.875,0.0,1.0,16
27,train,all,EASY,0.8125,0.8125,0.0,1.0,16
28,train,all,EASY,0.8125,0.8125,0.0,0.9375,16
29,train,all,EASY,0.75,0.75,0.0,1.0,16
30,eval,csv-agent-all,EASY,0.7857142857142857,0.7857142857142857,0.0,0.9285714285714286,14
30,eval,csv-agent-all,HARD,0.4,0.4,0.0,0.7,10
30,eval,csv-agent-all,MEDIUM,0.42857142857142855,0.42857142857142855,0.0,0.7142857142857143,14
30,eval,csv-agent-all,VERY_HARD,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,3
30,eval,csv-agent-easy-val,EASY,0.7142857142857143,0.7142857142857143,0.0,0.9285714285714286,14
